boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Staten Island,Cpl. Thompson Park,117965,0,10.5
Manhattan,Crack Is Wack Playground,15437,0,1.37
Staten Island,Crescent Beach Park,2132,0,110.96
Bronx,Crescent Park,3535,0,0.44
Brooklyn,Crispus Attucks Playground,45222,0,0.93
Queens,Crocheron Park,84340,10000,62.79
Queens,Cross Island Parkway,3604,0,326.9
Queens,Crosson Green,3137,0,0.06
Queens,Crosson Park,4677,0,0.09
Bronx,Crotona Park,538642,3000,127.5
Bronx,Crotona Parkway Malls,23766,0,8.75
Queens,Crowley Playground,9014,0,1.63
Brooklyn,Crystal Wells Block Association,0,0,0.34
Bronx,Cs 134 Community Improvement Garden,0,0,0.16
Queens,Culinary Kids Garden,0,0,1.49
Queens,Cunningham Park,159811,0,358.
Brooklyn,Curtis Playground,25391,0,1.
Brooklyn,Cutinella Triangle,923,0,0.08
Brooklyn,Cuyler Gore Park,9725,0,1.16
Brooklyn,Cypress Hills Change Garden,0,0,0.09
Brooklyn,Cypress Hills Playground,17840,0,4.95
Bronx,D'Auria-Murphy Triangle,13753,0,0.31
Brooklyn,D'Emic Playground,14324,0,1.13
Bronx,D'Onofrio Square,10560,0,0.38
Manhattan,Dag Hammarskjold Plaza,20255,0,1.59
Brooklyn,Dahill Triangle,1209,0,0.01
Bronx,Daly Ave Garden,0,0,0.17
Manhattan,Damrosch Park,965,0,2.44
Brooklyn,Dan Ross Playground,6393,0,0.26
Bronx,Daniel Boone Playground,16573,0,1.2
Queens,Daniel M. O'Connell Playground,14576,0,2.04
Manhattan,Dante Park,3203,0,0.14
Queens,David J O'Connell Square,2711,0,0.06
Bronx,Davidson Ave. Community Gardeners Group,0,0,0.12
Bronx,Davidson Playground,5769,0,0.21
Staten Island,Davis Playground,3662,0,0.95
Bronx,Dawson Playground,27457,0,0.68
Manhattan,De Colores Community Yard And Cultural Center,79,0,0.07
Brooklyn,De Hostos Playground,16020,0,1.1
Staten Island,De Matti Park,3574,0,2.34
Manhattan,De Witt Clinton Park,53166,10000,5.83
Brooklyn,Dean Playground,52376,0,1.3
Brooklyn,Decatur Playground,9228,0,1.5
Queens,Delphin H. Greene Playground,14885,0,2.94
Manhattan,Delury Square,6419,0,0.21
Bronx,Derosa O'Boyle Triangle,2366,0,0.02
Manhattan,Desalvio Playground,4395,0,0.27
Brooklyn,Detective Joseph Mayrose Park,10946,0,1.31
Queens,Detective Keith L. Williams Park,56347,0,7.68
Queens,Detective William T. Gunn Playground,17872,0,2.72
Bronx,Devanney Triangle,5691,0,0.12
Bronx,Devoe Park,31673,0,5.44
Manhattan,Diamante Garden,0,0,0.19
Manhattan,Dias Y Flores,5,0,0.12
Brooklyn,Digilio Playground,6765,0,0.83
Brooklyn,Dimattina Playground,8952,0,1.38
Brooklyn,Dimattina Playground,8817,0,0.52
Queens,Ditmars Playground,32525,0,0.92
Brooklyn,Dodger Playground,5331,0,0.29
Staten Island,Dodgers Triangle,1196,0,0.03
Brooklyn,Dome Playground,10463,0,1.39
Staten Island,Dongan Playground,14161,0,1.29
Manhattan,Donnellan Square,7831,0,0.11
Manhattan,Dorothy K. Mcgowan Memorial Garden,0,0,0.05
Manhattan,Dorrance Brooks Square,5824,0,0.04
Queens,Doughboy Plaza,35479,0,1.71
Queens,Douglaston Park Golf Course,0,0,104.6
Manhattan,Downing Street Playground,13388,0,0.22
Queens,Dr. Charles R. Drew Park,25667,0,6.34
Manhattan,Dr. Gertrude B. Kelly Playground,12572,0,0.53
Brooklyn,Dr. Green Playground,24176,0,1.79
Manhattan,Dr. Ronald E. McNair Playground,13502,0,0.6
Brooklyn,Dr. Ronald Mcnair Park,9497,0,1.36
Manhattan,Dream Street Park,2099,0,0.25
Bronx,Drew Playground,20882,0,0.94
Staten Island,Drumgoole Tot Lot,4954,0,0.64
Queens,Drumm Triangle,2237,0,0.17
Manhattan,Dry Dock Playground,13811,0,1.5
Manhattan,Duane Park,15818,0,0.12
Manhattan,Duarte Square,8237,0,0.45
Queens,Dubos Point Wildlife Sanctuary,286,0,53.3
Staten Island,Dugan Playground,26863,0,3.33
Brooklyn,Duke Park,4766,0,0.14
Bronx,Dunbar Playground,8874,0,1.44
Queens,Dunningham Triangle,1614,0,0.
Queens,Dutch Kills Playground,39196,0,2.4
Queens,Dwyer Square,830,0,0.
Manhattan,Dyckman House Museum,14130,0,0.55
Brooklyn,Dyker Beach Park,135392,0,216.66
Brooklyn,E 4th Street Garden,549,0,0.18
Brooklyn,E. 43 St. Block Assoc. Garden,0,0,0.09
Staten Island,E.M.T. Christopher J. Prescott Playground,9608,0,1.12
Manhattan,Each One Teach One,12906,0,0.06
Bronx,Eae J Mitchell Park,10407,0,0.18
Manhattan,EarthPeople,79,0,0.11
Brooklyn,EarthSpirit Garden,40,0,0.23
Queens,East Elmhurst Playground,34953,0,3.83
Brooklyn,East End Community Garden,0,0,0.16
Brooklyn,East Flatbush Children's Playground,3484,0,0.11
Brooklyn,East New York Farms Garden,0,0,0.1
Manhattan,East River Esplanade,81839,17500,8.6
Manhattan,East River Esplanade,25086,17500,1.74
Manhattan,East River Playground,49970,0,1.29
Manhattan,East River Walk,28455,0,3.09
Queens,East Springfield Playground,21892,0,1.15
Bronx,Eastchester Playground,12532,0,1.03
Brooklyn,Eastern Parkway,91904,0,63.64
Brooklyn,Eastern Parkway Coalition,0,0,0.44
Brooklyn,Eastern Parkway Extension,0,0,2.06
Manhattan,Ebenezer Wesleyan Garden,0,0,0.17
Bronx,Echo Triangle,8192,0,0.16
Bronx,Edenwald Playground,20544,0,2.54
Manhattan,Edgecombe Park,520,0,0.11
Queens,Edgemere Urban Renewal Park,0,0,0.96
Bronx,EdithGarden,0,0,0.12
Brooklyn,Edmonds Playground,42678,0,0.92
Staten Island,Egbert Triangle,8128,0,0.21
Queens,Ehrenreich-Austin Playground,19501,25000,1.16
Staten Island,Eibs Pond Park,5783,0,16.51
Queens,Eight Oaks Triangle,1846,0,0.05
Bronx,El Batey Borincano Garden,79,0,0.17
Bronx,El Batey De Do?A Provi Garden,0,0,0.13
Bronx,El Flamboyan Garden,165,0,0.4
Manhattan,El Gallo Garden,0,0,0.08
Brooklyn,El Garden,0,0,0.11
Manhattan,El Jardin Del Paraiso Park,26,0,0.73
Brooklyn,El Shabazz Playground,11567,0,0.89
Manhattan,El Sol Brilliante Jr,5,0,0.06
Brooklyn,Eleanor Roosevelt Playground,58833,0,1.21
Queens,Electric Playground,12132,0,1.75
Brooklyn,Elizabeth Stroud Playground,14784,0,0.29
Manhattan,ElizabethLangley Memorial Garden,0,0,0.11
Queens,Elmhurst Park,34513,0,6.22
Queens,Elmjack Mall,1495,0,0.24
Brooklyn,Elton Playground,7675,0,0.62
Brooklyn,Elton St Block Association,0,0,0.1
Queens,Emerald Playground,13738,0,1.27
Brooklyn,Ennis Playground,8400,0,0.55
Brooklyn,Epiphany Playground,9841,0,0.5
Queens,Equity Playground,43555,0,1.31
Brooklyn,Ericsson Playground,36222,0,1.06
Bronx,Estella Diggs Park,9691,0,0.9
Brooklyn,Ethan Allen Playground,13303,0,0.8
Brooklyn,Euclid Garden,0,0,0.18
Manhattan,Eugene Mccabe Field,6806,0,0.79
Queens,Evergreen Park,32359,0,3.32
Brooklyn,Evergreen Playground,16014,0,0.87
Bronx,Ewen Park,21135,0,7.84
Staten Island,Faber Pool And Park,72141,0,4.34
Bronx,Fairmount Playground,6492,0,0.47
Staten Island,Fairview Park,130,0,42.6
Brooklyn,Family Community Garden,0,0,0.28
Manhattan,Family Community Garden,0,0,0.04
Bronx,Family Group Garden,0,0,0.1
Brooklyn,Fantasy Garden,0,0,0.23
Queens,Farm Playground,23194,0,3.76
Brooklyn,Farmers Garden,0,0,0.15
Manhattan,Father Demo Square,9348,0,0.25
Manhattan,Father Duffy Square,1092,1112098,0.08
Manhattan,Father Fagan Park,4774,0,0.15
Brooklyn,Father Giorgio Triangle,3523,0,0.07
Staten Island,Father Macris Park,7427,0,13.47
